,Id,modularity_class
0,2428,0
1,524,0
2,921,0
3,177,2
4,96,2
5,6981,2
6,130,2
7,1910,2
8,2524,2
9,4617,2
10,4535,2
11,9040,2
12,271,0
13,276,0
14,423,0
15,1003,0
16,109,6
17,765,0
18,2048,6
19,119,1
20,362,0
21,447,0
22,419,0
23,1188,0
24,1501,2
25,585,0
26,8796,0
27,3200,6
28,7222,6
29,5767,0
30,1694,6
31,4899,6
32,112,1
33,3483,3
34,1333,1
35,159,6
36,1303,2
37,14,1
38,4085,2
39,616,0
40,1714,0
41,87,6
42,190,3
43,1410,0
44,905,0
45,2074,0
46,2034,6
47,1443,0
48,108,6
49,692,6
50,1485,0
51,2624,0
52,8529,0
53,42,0
54,105,6
55,421,6
56,1904,6
57,1159,6
58,3656,6
59,12162,6
60,255,3
61,73,3
62,5087,3
63,1287,3
64,242,2
65,258,3
66,32,6
67,223,2
68,2325,2
69,99,2
70,232,2
71,4240,2
72,431,2
73,225,0
74,5366,4
75,3964,0
76,1070,0
77,1308,1
78,2806,1
79,2287,1
80,171,1
81,6,1
82,1636,2
83,7965,4
84,346,3
85,747,2
86,557,2
87,2332,2
88,780,6
89,1742,0
90,1353,0
91,144,6
92,208,6
93,1974,0
94,405,2
95,409,2
96,709,2
97,3455,2
98,720,2
99,712,2
100,412,2
101,670,6
102,311,6
103,3453,6
104,2239,1
105,5881,6
106,734,1
107,59,1
108,4420,6
109,422,6
110,1661,6
111,1697,6
112,5545,6
113,1135,2
114,5541,0
115,1592,7
116,233,0
117,1803,6
118,2097,6
119,650,6
120,5589,7
121,7576,6
122,10,1
123,859,6
124,967,6
125,2259,0
126,28,6
127,120,2
128,2140,6
129,15,1
130,1623,4
131,2461,6
132,341,1
133,169,1
134,4527,6
135,4493,6
136,4998,0
137,4824,0
138,6394,0
139,5942,0
140,5515,0
141,1891,2
142,509,6
143,1830,3
144,1145,6
145,401,0
146,676,0
147,3463,0
148,4276,0
149,4277,0
150,295,6
151,867,6
152,394,6
153,868,6
154,869,6
155,658,6
156,1359,1
157,620,1
158,1338,1
159,595,1
160,5437,1
161,2623,1
162,374,0
163,448,0
164,43,0
165,64,0
166,366,6
167,1755,0
168,370,2
169,58,6
170,2030,6
171,376,6
172,2652,6
173,1304,6
174,3492,1
175,7034,6
176,163,2
177,344,3
178,954,3
179,237,2
180,6209,6
181,1138,6
182,3412,6
183,949,6
184,1415,6
185,5439,6
186,1016,6
187,645,1
188,1470,0
189,1399,0
190,201,4
191,1652,0
192,987,0
193,1386,6
194,2296,0
195,698,6
196,1414,0
197,944,6
198,1874,6
199,1842,6
200,883,0
201,2593,0
202,7383,1
203,146,2
204,5659,2
205,999,1
206,528,1
207,527,2
208,325,6
209,936,6
210,71,3
211,2027,1
212,838,6
213,1647,0
214,1402,0
215,579,0
216,1176,2
217,403,2
218,86,2
219,2484,0
220,81,1
221,7351,3
222,2186,4
223,1566,0
224,6120,3
225,1186,4
226,690,2
227,581,1
228,2728,3
229,69,0
230,3143,0
231,266,2
232,1345,6
233,145,6
234,2735,2
235,143,6
236,7526,0
237,1656,1
238,98,2
239,88,0
240,460,6
241,1155,6
242,4459,6
243,2197,1
244,2956,1
245,1372,1
246,755,1
247,1371,1
248,667,1
249,1374,1
250,762,1
251,1165,1
252,379,0
253,80,0
254,7452,1
255,142,1
256,3343,1
257,1240,1
258,4696,1
259,2190,1
260,45,1
261,372,0
262,959,6
263,50,0
264,2359,0
265,1956,3
266,7095,3
267,4180,4
268,615,4
269,1184,4
270,619,4
271,1275,5
272,1276,5
273,604,5
274,995,5
275,2681,0
276,4029,6
277,444,6
278,1781,6
279,1207,1
280,2479,6
281,2969,6
282,8184,0
283,1872,6
284,1869,6
285,4377,6
286,8964,4
287,1084,4
288,1855,4
289,814,4
290,23,4
291,2892,4
292,1570,1
293,1172,2
294,235,2
295,3388,6
